soma_joinid,citation,collection_id,collection_name,collection_doi,collection_doi_label,dataset_id,dataset_version_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
220,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/fa83d537-3ddf-40b2-961f-8f2b48fa1e70.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,7d98cc44-b090-4dc8-804f-2750c84fe9d7,fa83d537-3ddf-40b2-961f-8f2b48fa1e70,49 years old male - Airway Wash (1 day post-intubation),7d98cc44-b090-4dc8-804f-2750c84fe9d7.h5ad,2489
238,Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/6b0ebf50-ae2e-432e-83aa-f09dc1ded6bd.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,02b01703-bf1b-48de-b99a-23bef8cccc81,Spatially mapping T cell receptors and transcriptomes,10.1016/j.immuni.2022.09.002,Liu et al. (2022) Immunity,4aefec71-da4e-48ec-a910-c542b5807c7d,6b0ebf50-ae2e-432e-83aa-f09dc1ded6bd,"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_14",4aefec71-da4e-48ec-a910-c542b5807c7d.h5ad,37568
241,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/5b6d0e13-8d68-486c-9c51-651089d35eab.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,8a554710-08bc-4005-87cd-da9675bdc2e7,5b6d0e13-8d68-486c-9c51-651089d35eab,82 years old female - Fresh PBMCs (1 day post-intubation),8a554710-08bc-4005-87cd-da9675bdc2e7.h5ad,4232
243,Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/077a3cb7-030a-4fd9-b0d4-7add7c6a0016.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,02b01703-bf1b-48de-b99a-23bef8cccc81,Spatially mapping T cell receptors and transcriptomes,10.1016/j.immuni.2022.09.002,Liu et al. (2022) Immunity,07efa1c3-7649-43d8-b798-e26a0145ee65,077a3cb7-030a-4fd9-b0d4-7add7c6a0016,"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_15",07efa1c3-7649-43d8-b798-e26a0145ee65.h5ad,35839
247,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/4c42a0a8-c5cf-4525-9120-dae962b5922e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,dbf0bd35-87f8-4b25-bc90-a3c54f379907,4c42a0a8-c5cf-4525-9120-dae962b5922e,66 years old female - Airway Wash (3 days post-intubation),dbf0bd35-87f8-4b25-bc90-a3c54f379907.h5ad,3434
250,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/c8951cd9-c0fc-43bd-8087-c991cf8130e4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,ce009dc1-ac57-4386-b72f-5c575701c253,c8951cd9-c0fc-43bd-8087-c991cf8130e4,74 years old female - Airway Wash (6 days post-intubation),ce009dc1-ac57-4386-b72f-5c575701c253.h5ad,2834
262,Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/38f7576c-5337-4377-bded-8b5474620df1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,02b01703-bf1b-48de-b99a-23bef8cccc81,Spatially mapping T cell receptors and transcriptomes,10.1016/j.immuni.2022.09.002,Liu et al. (2022) Immunity,18fd0190-229d-4d2b-8f28-1e40c49c750d,38f7576c-5337-4377-bded-8b5474620df1,"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_20",18fd0190-229d-4d2b-8f28-1e40c49c750d.h5ad,37563
283,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/ab1438c0-9b10-4945-9b11-50c8259ac26b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,731e6380-879f-4b0b-9a1f-2150208852ef,ab1438c0-9b10-4945-9b11-50c8259ac26b,74 years old female - Airway Wash (8 days post-intubation),731e6380-879f-4b0b-9a1f-2150208852ef.h5ad,2065
284,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/73722525-6d1f-4f1c-a587-a2774d916dae.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,ea786a06-5855-48b7-80d7-0313a21a2044,73722525-6d1f-4f1c-a587-a2774d916dae,66 years old female - Fresh PBMCs (3 days post-intubation),ea786a06-5855-48b7-80d7-0313a21a2044.h5ad,4792
311,Publication: https://doi.org/10.1016/j.cell.2022.11.005 Dataset Version: https://datasets.cellxgene.cziscience.com/8f475df0-9104-46e0-8b30-7dcd0e7758e0.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,He et al. (2022) Cell,cdefb878-7f00-4b9d-9eda-b3652cfac0c8,8f475df0-9104-46e0-8b30-7dcd0e7758e0,Cilium,cdefb878-7f00-4b9d-9eda-b3652cfac0c8.h5ad,1641
318,Publication: https://doi.org/10.1038/s41588-022-01243-4 Dataset Version: https://datasets.cellxgene.cziscience.com/cf935445-3940-4ef2-96ca-bf32e35fc318.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,c1241244-b22d-483d-875b-75699efb9f3c,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,10.1038/s41588-022-01243-4,Madissoon et al. (2023) Nat Genet,f6dafdd1-d746-407e-8019-4470e02d4cbd,cf935445-3940-4ef2-96ca-bf32e35fc318,B cells,f6dafdd1-d746-407e-8019-4470e02d4cbd.h5ad,3699
344,Publication: https://doi.org/10.1016/j.cell.2022.11.005 Dataset Version: https://datasets.cellxgene.cziscience.com/6d867c32-1f82-4c88-99a5-b9dbdf51689a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,He et al. (2022) Cell,7b3368a5-c1a0-4973-9e75-d95b4150c7da,6d867c32-1f82-4c88-99a5-b9dbdf51689a,B cells,7b3368a5-c1a0-4973-9e75-d95b4150c7da.h5ad,4138
367,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/ec195a6c-bf74-4559-ab1c-26be7de84ce6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,51f476f7-b24d-42f3-8871-7dab3fa35e96,ec195a6c-bf74-4559-ab1c-26be7de84ce6,74 years old female - Airway Wash (4 days post-intubation),51f476f7-b24d-42f3-8871-7dab3fa35e96.h5ad,4147
375,Publication: https://doi.org/10.3390/genes15030298 Dataset Version: https://datasets.cellxgene.cziscience.com/5c27e357-4786-46d4-9635-cb7b37cce452.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/28e9d721-6816-48a2-8d0b-43bf0b0c0ebc,28e9d721-6816-48a2-8d0b-43bf0b0c0ebc,Single cell transcriptomic profiling identifies molecular phenotypes of newborn human lung cells,10.3390/genes15030298,Bhattacharya et al. (2024) Genes,6e00ccf7-0749-46ef-a999-dba785630d52,5c27e357-4786-46d4-9635-cb7b37cce452,Single cell transcriptomic profiling identifies molecular phenotypes of newborn human lung cells,6e00ccf7-0749-46ef-a999-dba785630d52.h5ad,5499
378,Publication: https://doi.org/10.1016/j.cell.2022.11.005 Dataset Version: https://datasets.cellxgene.cziscience.com/092bbcfc-7ede-4b54-8676-334bc73bb350.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,He et al. (2022) Cell,62315937-e268-4fa5-a032-8f7d776f3a3f,092bbcfc-7ede-4b54-8676-334bc73bb350,"T, NK and ILC",62315937-e268-4fa5-a032-8f7d776f3a3f.h5ad,4778
380,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/317a633a-b26e-4ae4-8d07-e2af962488b5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,cab0bc48-744c-461b-aaf4-7bf2cb7af00d,317a633a-b26e-4ae4-8d07-e2af962488b5,74 years old female - Fresh PBMCs (4 days post-intubation),cab0bc48-744c-461b-aaf4-7bf2cb7af00d.h5ad,5080
383,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/0bb4ac8a-d569-4644-a845-21a19236ed26.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,50eb1e23-b8d4-4f76-a184-44e5541fa05a,0bb4ac8a-d569-4644-a845-21a19236ed26,74 years old female - Fresh PBMCs (8 days post-intubation),50eb1e23-b8d4-4f76-a184-44e5541fa05a.h5ad,4755
392,Publication: https://doi.org/10.1038/s41588-022-01243-4 Dataset Version: https://datasets.cellxgene.cziscience.com/d728742c-7392-4a97-a42f-eeeb9f3917f7.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,c1241244-b22d-483d-875b-75699efb9f3c,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,10.1038/s41588-022-01243-4,Madissoon et al. (2023) Nat Genet,e22c2ab4-c025-4804-b7a3-0b0ebd48c87a,d728742c-7392-4a97-a42f-eeeb9f3917f7,Smooth muscle cells,e22c2ab4-c025-4804-b7a3-0b0ebd48c87a.h5ad,5156
407,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/487232f3-b95f-4c73-92d8-e35e90be896e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,01c93cf6-b695-4e30-a26e-121ae8b16a9e,487232f3-b95f-4c73-92d8-e35e90be896e,66 years old female - Fresh PBMCs (7 days post-intubation),01c93cf6-b695-4e30-a26e-121ae8b16a9e.h5ad,3726
408,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/a7fcecb8-5f3a-46ed-b208-b3f5767faeea.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,73b7d0aa-035f-4a15-9f1d-f56b70204591,a7fcecb8-5f3a-46ed-b208-b3f5767faeea,66 years old female - Airway Wash (7 days post-intubation),73b7d0aa-035f-4a15-9f1d-f56b70204591.h5ad,4594
415,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/02839e9d-7573-414d-8b50-d862e3f2068a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,84230ea4-998d-4aa8-8456-81dd54ce23af,02839e9d-7573-414d-8b50-d862e3f2068a,74 years old female - Fresh PBMCs (3 days post-intubation),84230ea4-998d-4aa8-8456-81dd54ce23af.h5ad,5608
420,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/e9b2c0bf-b1a5-43a6-a1c6-660ed77932fb.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,79ef1959-a6b4-4cac-82ca-30feaec48df1,e9b2c0bf-b1a5-43a6-a1c6-660ed77932fb,74 years old female - Fresh PBMCs (7 days post-intubation),79ef1959-a6b4-4cac-82ca-30feaec48df1.h5ad,4846
421,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/5cd83c9d-6468-455e-96f3-cdc7256f9b18.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,c874f155-9bf9-4928-b821-f52c876b3e48,5cd83c9d-6468-455e-96f3-cdc7256f9b18,49 years old male - Fresh PBMCs (1 day post-intubation),c874f155-9bf9-4928-b821-f52c876b3e48.h5ad,4603
442,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/6ad96146-843a-41ce-a568-1bcf6fcfc67a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,ed9e9f96-4f08-49d2-bef5-b2c29adf3edc,6ad96146-843a-41ce-a568-1bcf6fcfc67a,66 years old female - Fresh PBMCs (4 days post-intubation),ed9e9f96-4f08-49d2-bef5-b2c29adf3edc.h5ad,5696
473,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/7935ace4-7a93-4f91-9cd4-371877aec33a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,2f7230e7-4706-4924-b571-473fc1e52c30,7935ace4-7a93-4f91-9cd4-371877aec33a,74 years old female - Airway Wash (1 day post-intubation),2f7230e7-4706-4924-b571-473fc1e52c30.h5ad,4651
478,Publication: https://doi.org/10.1016/j.cell.2022.11.005 Dataset Version: https://datasets.cellxgene.cziscience.com/a013b199-f162-4f78-9a45-f616678c3623.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,He et al. (2022) Cell,810ac45f-8969-4698-b42c-652f802f75c2,a013b199-f162-4f78-9a45-f616678c3623,Endothelium,810ac45f-8969-4698-b42c-652f802f75c2.h5ad,5467
481,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/68fe88bf-3b86-4ec6-81c7-734ff3020153.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,881fe679-c6e0-45a3-9427-c4e81be6921f,68fe88bf-3b86-4ec6-81c7-734ff3020153,66 years old female - Fresh PBMCs (2 days post-intubation),881fe679-c6e0-45a3-9427-c4e81be6921f.h5ad,7097
